ODI Rank,Team 1,Team 2,InningWinner,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Margin
ODI # 3079,South Africa,India,Winner1stInning,Durban,"Jan 12, 2011",South Africa,South Africa,Home,Away,First,Second,135 runs
ODI # 3080,South Africa,India,Winner1stInning,Johannesburg,"Jan 15, 2011",India,South Africa,Home,Away,Second,First,1 run
ODI # 3081,Australia,England,Winner2ndInning,Melbourne,"Jan 16, 2011",Australia,Australia,Home,Away,Second,First,6 wickets
ODI # 3082,South Africa,India,Winner2ndInning,Cape Town,"Jan 18, 2011",India,South Africa,Home,Away,First,Second,2 wickets
ODI # 3083,Australia,England,Winner1stInning,Hobart,"Jan 21, 2011",Australia,Australia,Home,Away,First,Second,46 runs
ODI # 3084,South Africa,India,Winner1stInning,Port Elizabeth,"Jan 21, 2011",South Africa,South Africa,Home,Away,First,Second,48 runs
ODI # 3085,New Zealand,Pakistan,Winner2ndInning,Wellington,"Jan 22, 2011",New Zealand,New Zealand,Home,Away,Second,First,9 wickets
ODI # 3086,Australia,England,Winner2ndInning,Sydney,"Jan 23, 2011",Australia,Australia,Home,Away,Second,First,4 wickets
ODI # 3087,South Africa,India,Winner1stInning,Centurion,"Jan 23, 2011",South Africa,South Africa,Home,Away,First,Second,33 runs
ODI # 3089,Australia,England,Winner1stInning,Adelaide,"Jan 26, 2011",England,Australia,Home,Away,Second,First,21 runs
ODI # 3090,New Zealand,Pakistan,Winner1stInning,Christchurch,"Jan 29, 2011",Pakistan,New Zealand,Home,Away,Second,First,43 runs
ODI # 3091,Australia,England,Winner1stInning,Brisbane,"Jan 30, 2011",Australia,Australia,Home,Away,First,Second,51 runs
ODI # 3093,New Zealand,Pakistan,Winner2ndInning,Napier,"Feb 1, 2011",Pakistan,New Zealand,Home,Away,First,Second,2 wickets
ODI # 3094,Australia,England,Winner2ndInning,Sydney,"Feb 2, 2011",Australia,Australia,Home,Away,Second,First,2 wickets
ODI # 3095,New Zealand,Pakistan,Winner1stInning,Hamilton,"Feb 3, 2011",Pakistan,New Zealand,Home,Away,Second,First,41 runs
ODI # 3096,Sri Lanka,West Indies,Winner2ndInning,Colombo,"Feb 3, 2011",Sri Lanka,Sri Lanka,Home,Away,Second,First,8 wickets
ODI # 3097,New Zealand,Pakistan,Winner1stInning,Auckland,"Feb 5, 2011",New Zealand,New Zealand,Home,Away,First,Second,57 runs
ODI # 3098,Australia,England,Winner1stInning,Perth,"Feb 6, 2011",Australia,Australia,Home,Away,First,Second,57 runs
ODI # 3099,Sri Lanka,West Indies,Winner1stInning,Colombo,"Feb 6, 2011",Sri Lanka,Sri Lanka,Home,Away,First,Second,26 runs
ODI # 3100,Bangladesh,India,Winner1stInning,Dhaka,"Feb 19, 2011",India,Bangladesh,Home,Away,Second,First,87 runs
ODI # 3101,Kenya,New Zealand,Winner2ndInning,Chennai,"Feb 20, 2011",New Zealand,India,Neutral,Neutral,First,Second,10 wickets
ODI # 3102,Sri Lanka,Canada,Winner1stInning,Hambantota,"Feb 20, 2011",Sri Lanka,Sri Lanka,Home,Away,First,Second,210 runs
ODI # 3103,Australia,Zimbabwe,Winner1stInning,Ahmedabad,"Feb 21, 2011",Australia,India,Neutral,Neutral,First,Second,91 runs
ODI # 3104,England,Netherlands,Winner2ndInning,Nagpur,"Feb 22, 2011",England,India,Neutral,Neutral,Second,First,6 wickets
ODI # 3105,Kenya,Pakistan,Winner1stInning,Hambantota,"Feb 23, 2011",Pakistan,Sri Lanka,Neutral,Neutral,Second,First,205 runs
ODI # 3106,South Africa,West Indies,Winner2ndInning,Delhi,"Feb 24, 2011",South Africa,India,Neutral,Neutral,Second,First,7 wickets
ODI # 3107,Australia,New Zealand,Winner2ndInning,Nagpur,"Feb 25, 2011",Australia,India,Neutral,Neutral,Second,First,7 wickets
ODI # 3108,Bangladesh,Ireland,Winner1stInning,Dhaka,"Feb 25, 2011",Bangladesh,Bangladesh,Home,Away,First,Second,27 runs
ODI # 3109,Sri Lanka,Pakistan,Winner1stInning,Colombo,"Feb 26, 2011",Pakistan,Sri Lanka,Home,Away,Second,First,11 runs
ODI # 3111,Canada,Zimbabwe,Winner1stInning,Nagpur,"Feb 28, 2011",Zimbabwe,India,Neutral,Neutral,Second,First,175 runs
ODI # 3112,Netherlands,West Indies,Winner1stInning,Delhi,"Feb 28, 2011",West Indies,India,Neutral,Neutral,Second,First,215 runs
ODI # 3113,Sri Lanka,Kenya,Winner2ndInning,Colombo,"Mar 1, 2011",Sri Lanka,Sri Lanka,Home,Away,Second,First,9 wickets
ODI # 3114,England,Ireland,Winner2ndInning,Bengaluru,"Mar 2, 2011",Ireland,India,Neutral,Neutral,First,Second,3 wickets
ODI # 3115,Netherlands,South Africa,Winner1stInning,Mohali,"Mar 3, 2011",South Africa,,Neutral,Neutral,Second,First,231 runs
ODI # 3116,Canada,Pakistan,Winner1stInning,Colombo,"Mar 3, 2011",Pakistan,Sri Lanka,Neutral,Neutral,Second,First,46 runs
ODI # 3117,New Zealand,Zimbabwe,Winner2ndInning,Ahmedabad,"Mar 4, 2011",New Zealand,India,Neutral,Neutral,Second,First,10 wickets
ODI # 3118,Bangladesh,West Indies,Winner2ndInning,Dhaka,"Mar 4, 2011",West Indies,Bangladesh,Home,Away,First,Second,9 wickets
ODI # 3120,England,South Africa,Winner1stInning,Chennai,"Mar 6, 2011",England,India,Neutral,Neutral,First,Second,6 runs
ODI # 3121,India,Ireland,Winner2ndInning,Bengaluru,"Mar 6, 2011",India,India,Home,Away,Second,First,5 wickets
ODI # 3122,Canada,Kenya,Winner2ndInning,Delhi,"Mar 7, 2011",Canada,India,Neutral,Neutral,Second,First,5 wickets
ODI # 3123,New Zealand,Pakistan,Winner1stInning,Pallekele,"Mar 8, 2011",New Zealand,,Neutral,Neutral,First,Second,110 runs
ODI # 3124,India,Netherlands,Winner2ndInning,Delhi,"Mar 9, 2011",India,India,Home,Away,Second,First,5 wickets
ODI # 3125,Sri Lanka,Zimbabwe,Winner1stInning,Pallekele,"Mar 10, 2011",Sri Lanka,,Neutral,Neutral,First,Second,139 runs
ODI # 3126,Ireland,West Indies,Winner1stInning,Mohali,"Mar 11, 2011",West Indies,,Neutral,Neutral,Second,First,44 runs
ODI # 3127,Bangladesh,England,Winner2ndInning,Chittagong,"Mar 11, 2011",Bangladesh,Bangladesh,Home,Away,Second,First,2 wickets
